,datetime,rtt
0,2019-03-23 00:01:55,1.103
1,2019-03-23 00:01:55,1.027
2,2019-03-23 00:01:56,1.204
3,2019-03-23 00:01:56,1.174
4,2019-03-23 00:01:57,1.131
5,2019-03-23 00:01:57,1.111
6,2019-03-23 00:01:57,1.177
7,2019-03-23 00:01:58,1.156
8,2019-03-23 00:01:58,1.225
9,2019-03-23 00:01:58,1.092
10,2019-03-23 00:01:58,1.195
11,2019-03-23 00:01:59,1.113
12,2019-03-23 00:01:59,1.109
13,2019-03-23 00:01:59,1.155
14,2019-03-23 00:01:59,0.979
15,2019-03-23 00:02:00,3.360
16,2019-03-23 00:02:00,1.098
17,2019-03-23 00:02:00,14.726
18,2019-03-23 00:02:00,1.995
19,2019-03-23 00:02:01,1.706
20,2019-03-23 00:02:01,1.148
21,2019-03-23 00:02:01,1.144
22,2019-03-23 00:02:01,1.441
23,2019-03-23 00:02:01,1.345
24,2019-03-23 00:02:02,1.098
25,2019-03-23 00:02:02,1.134
26,2019-03-23 00:02:02,1.203
27,2019-03-23 00:02:02,1.132
28,2019-03-23 00:02:02,1.721
29,2019-03-23 00:02:03,1.434
30,2019-03-23 00:02:03,1.103
31,2019-03-23 00:02:03,1.096
32,2019-03-23 00:02:04,1.888
33,2019-03-23 00:02:04,1.082
34,2019-03-23 00:02:04,1.359
35,2019-03-23 00:02:04,1.081
36,2019-03-23 00:02:05,1.722
37,2019-03-23 00:02:05,1.254
38,2019-03-23 00:02:05,1.076
39,2019-03-23 00:02:05,1.408
40,2019-03-23 00:02:06,1.469
41,2019-03-23 00:02:06,2.062
42,2019-03-23 00:02:06,1.221
43,2019-03-23 00:02:06,1.225
44,2019-03-23 00:02:06,1.136
45,2019-03-23 00:02:07,8.525
46,2019-03-23 00:02:08,24.655
47,2019-03-23 00:02:08,1.152
48,2019-03-23 00:02:08,1.403
49,2019-03-23 00:02:08,1.213
50,2019-03-23 00:02:09,1.134
51,2019-03-23 00:02:09,14.758
52,2019-03-23 00:02:09,1.507
53,2019-03-23 00:02:09,1.430
54,2019-03-23 00:02:09,1.177
55,2019-03-23 00:02:10,1.095
56,2019-03-23 00:02:10,1.402
57,2019-03-23 00:02:10,2.175
58,2019-03-23 00:02:11,1.111
59,2019-03-23 00:02:11,1.095
60,2019-03-23 00:02:11,1.104
61,2019-03-23 00:02:11,1.199
