,datetime,rtt
0,2019-05-03 19:26:57,167.759
1,2019-05-03 19:26:57,169.218
2,2019-05-03 19:27:01,167.473
3,2019-05-03 19:27:05,167.341
4,2019-05-03 19:27:07,168.856
5,2019-05-03 19:27:15,169.188
6,2019-05-03 19:27:18,166.906
7,2019-05-03 19:27:25,169.186
8,2019-05-03 19:27:29,167.521
9,2019-05-03 19:27:57,167.316
10,2019-05-03 19:28:15,166.982
11,2019-05-03 19:28:27,169.442
12,2019-05-03 19:28:32,167.545
13,2019-05-03 19:28:48,167.315
14,2019-05-03 19:28:49,167.226
15,2019-05-03 19:28:53,168.814
16,2019-05-03 19:29:08,169.114
17,2019-05-03 19:29:09,167.164
18,2019-05-03 19:29:13,167.540
19,2019-05-03 19:29:21,168.180
20,2019-05-03 19:29:26,167.743
21,2019-05-03 19:29:28,167.339
22,2019-05-03 19:29:32,167.270
23,2019-05-03 19:29:36,168.961
24,2019-05-03 19:29:39,168.796
25,2019-05-03 19:29:46,166.951
26,2019-05-03 19:29:49,167.372
27,2019-05-03 19:29:51,166.888
28,2019-05-03 19:30:10,167.258
29,2019-05-03 19:30:14,167.170
30,2019-05-03 19:30:19,167.640
31,2019-05-03 19:30:30,168.984
32,2019-05-03 19:30:39,169.020
33,2019-05-03 19:30:39,168.819
34,2019-05-03 19:30:44,166.953
35,2019-05-03 19:30:48,166.939
36,2019-05-03 19:30:51,169.415
37,2019-05-03 19:30:54,169.151
38,2019-05-03 19:31:00,169.266
39,2019-05-03 19:31:09,169.148
40,2019-05-03 19:31:12,167.497
41,2019-05-03 19:31:20,169.055
42,2019-05-03 19:31:21,169.518
43,2019-05-03 19:31:27,169.065
44,2019-05-03 19:31:35,168.961
45,2019-05-03 19:31:43,167.555
46,2019-05-03 19:31:55,169.077
47,2019-05-03 19:32:04,169.239
48,2019-05-03 19:32:11,168.866
49,2019-05-03 19:32:12,167.134
50,2019-05-03 19:32:26,167.606
51,2019-05-03 19:32:34,168.914
52,2019-05-03 19:32:41,169.201
53,2019-05-03 19:35:18,169.548
54,2019-05-03 19:35:21,169.289
55,2019-05-03 19:35:21,169.618
56,2019-05-03 19:35:21,167.212
57,2019-05-03 19:35:23,168.696
58,2019-05-03 19:35:23,168.928
59,2019-05-03 19:35:26,170.485
60,2019-05-03 19:35:31,169.100
61,2019-05-03 19:35:32,167.511
62,2019-05-03 19:35:38,166.884
63,2019-05-03 19:35:40,167.402
64,2019-05-03 19:35:41,167.144
65,2019-05-03 19:35:42,166.977
66,2019-05-03 19:35:43,169.516
67,2019-05-03 19:35:57,169.342
68,2019-05-03 19:36:05,169.306
69,2019-05-03 19:36:31,169.135
70,2019-05-03 19:36:33,167.488
71,2019-05-03 19:36:42,166.944
72,2019-05-03 19:36:44,169.271
73,2019-05-03 19:36:44,169.940
74,2019-05-03 19:36:47,168.971
75,2019-05-03 19:36:51,168.764
76,2019-05-03 19:36:54,169.401
77,2019-05-03 19:37:01,169.092
78,2019-05-03 19:37:15,167.378
79,2019-05-03 19:37:26,168.967
80,2019-05-03 19:37:31,167.618
81,2019-05-03 19:37:31,168.722
82,2019-05-03 19:37:49,169.211
83,2019-05-03 19:37:50,169.300
84,2019-05-03 19:37:52,168.795
85,2019-05-03 19:37:53,169.181
86,2019-05-03 19:37:54,169.160
87,2019-05-03 19:37:56,168.926
88,2019-05-03 19:38:00,167.340
89,2019-05-03 19:38:01,167.367
90,2019-05-03 19:38:09,167.039
91,2019-05-03 19:38:11,169.243
92,2019-05-03 19:38:15,168.784
93,2019-05-03 19:38:21,168.883
94,2019-05-03 19:38:21,169.191
95,2019-05-03 19:38:22,169.196
96,2019-05-03 19:38:27,168.940
97,2019-05-03 19:38:34,167.253
98,2019-05-03 19:38:40,168.979
99,2019-05-03 19:38:44,166.958
100,2019-05-03 19:38:48,167.555
101,2019-05-03 19:38:51,167.190
102,2019-05-03 19:38:55,169.160
103,2019-05-03 19:38:55,169.131
104,2019-05-03 19:39:00,167.833
105,2019-05-03 19:39:02,167.111
106,2019-05-03 19:39:06,167.328
107,2019-05-03 19:39:08,168.914
108,2019-05-03 19:39:24,167.222
109,2019-05-03 19:39:29,167.479
110,2019-05-03 19:39:30,167.214
111,2019-05-03 19:39:38,167.345
112,2019-05-03 19:39:43,169.340
113,2019-05-03 19:39:48,167.230
114,2019-05-03 19:40:00,169.532
115,2019-05-03 19:40:01,167.253
116,2019-05-03 19:40:09,169.654
117,2019-05-03 19:40:15,169.298
118,2019-05-03 19:40:19,167.642
119,2019-05-03 19:40:19,169.071
120,2019-05-03 19:40:27,167.523
121,2019-05-03 19:40:30,167.585
122,2019-05-03 19:40:32,167.446
123,2019-05-03 19:40:38,169.211
124,2019-05-03 19:40:49,167.455
125,2019-05-03 19:40:57,168.938
126,2019-05-03 19:41:02,167.468
127,2019-05-03 19:41:02,167.146
128,2019-05-03 19:43:13,167.038
129,2019-05-03 19:43:18,167.555
130,2019-05-03 19:43:25,169.111
131,2019-05-03 19:43:26,169.473
132,2019-05-03 19:43:27,167.272
133,2019-05-03 19:43:33,169.469
134,2019-05-03 19:43:34,169.196
135,2019-05-03 19:43:34,169.018
136,2019-05-03 19:43:35,167.480
137,2019-05-03 19:43:35,169.240
138,2019-05-03 19:43:40,167.411
139,2019-05-03 19:43:44,169.633
140,2019-05-03 19:43:45,169.537
141,2019-05-03 19:43:56,167.647
142,2019-05-03 19:44:04,168.952
143,2019-05-03 19:44:16,169.600
144,2019-05-03 19:44:19,167.354
145,2019-05-03 19:44:24,169.496
146,2019-05-03 19:44:36,169.128
147,2019-05-03 19:44:36,167.332
148,2019-05-03 19:44:40,169.081
149,2019-05-03 19:44:53,169.209
150,2019-05-03 19:45:03,167.522
151,2019-05-03 19:45:04,167.378
152,2019-05-03 19:45:05,167.382
153,2019-05-03 19:45:19,167.211
154,2019-05-03 19:45:22,168.741
155,2019-05-03 19:45:22,167.574
156,2019-05-03 19:45:23,167.506
157,2019-05-03 19:45:27,167.498
158,2019-05-03 19:45:43,167.582
159,2019-05-03 19:45:52,169.273
160,2019-05-03 19:46:00,169.267
161,2019-05-03 19:46:12,169.018
162,2019-05-03 19:46:12,169.077
163,2019-05-03 19:46:21,167.977
164,2019-05-03 19:46:23,167.138
165,2019-05-03 19:46:23,169.173
166,2019-05-03 19:46:25,169.130
167,2019-05-03 19:46:30,167.257
168,2019-05-03 19:46:35,169.029
169,2019-05-03 19:46:37,169.371
170,2019-05-03 19:46:41,167.082
171,2019-05-03 19:46:48,167.745
172,2019-05-03 19:46:55,167.688
173,2019-05-03 19:47:11,169.048
174,2019-05-03 19:47:15,167.462
175,2019-05-03 19:47:19,167.488
176,2019-05-03 19:47:23,167.357
177,2019-05-03 19:47:29,169.073
178,2019-05-03 19:47:30,166.926
179,2019-05-03 19:47:33,167.575
180,2019-05-03 19:47:42,168.950
181,2019-05-03 19:47:42,169.154
182,2019-05-03 19:47:47,167.497
183,2019-05-03 19:47:48,167.468
184,2019-05-03 19:47:49,169.334
185,2019-05-03 19:47:57,167.155
186,2019-05-03 19:47:57,168.785
187,2019-05-03 19:48:04,168.992
188,2019-05-03 19:48:13,167.092
189,2019-05-03 19:48:15,167.731
190,2019-05-03 19:48:23,169.040
191,2019-05-03 19:48:55,167.176
192,2019-05-03 19:51:36,169.651
193,2019-05-03 19:51:38,167.435
194,2019-05-03 19:51:42,169.175
195,2019-05-03 19:51:49,167.312
196,2019-05-03 19:51:52,167.413
197,2019-05-03 19:51:52,167.265
198,2019-05-03 19:51:54,169.452
199,2019-05-03 19:51:56,167.597
200,2019-05-03 19:52:00,169.286
201,2019-05-03 19:52:07,168.774
202,2019-05-03 19:52:09,169.157
203,2019-05-03 19:52:11,166.919
204,2019-05-03 19:52:19,167.093
205,2019-05-03 19:52:20,169.454
206,2019-05-03 19:52:21,169.493
207,2019-05-03 19:52:25,167.347
208,2019-05-03 19:52:27,168.741
209,2019-05-03 19:52:35,169.119
210,2019-05-03 19:52:37,167.316
211,2019-05-03 19:52:41,169.397
212,2019-05-03 19:52:44,169.441
213,2019-05-03 19:52:49,167.101
214,2019-05-03 19:52:55,169.046
215,2019-05-03 19:52:55,169.721
216,2019-05-03 19:53:01,168.735
