,datetime,rtt
0,2019-05-03 23:26:21,1.209
1,2019-05-03 23:26:22,1.168
2,2019-05-03 23:26:22,1.180
3,2019-05-03 23:26:22,1.187
4,2019-05-03 23:26:23,1.175
5,2019-05-03 23:26:23,1.152
6,2019-05-03 23:26:23,1.206
7,2019-05-03 23:26:23,1.100
8,2019-05-03 23:26:24,1.245
9,2019-05-03 23:26:24,1.187
10,2019-05-03 23:26:24,1.492
11,2019-05-03 23:26:24,1.180
12,2019-05-03 23:26:24,1.187
13,2019-05-03 23:26:25,1.246
14,2019-05-03 23:26:25,4.438
15,2019-05-03 23:26:25,1.156
16,2019-05-03 23:26:26,1.231
17,2019-05-03 23:26:26,1.183
18,2019-05-03 23:26:26,1.250
19,2019-05-03 23:26:27,11.866
20,2019-05-03 23:26:28,1.187
21,2019-05-03 23:26:28,1.182
22,2019-05-03 23:26:28,1.603
23,2019-05-03 23:26:29,1.200
24,2019-05-03 23:26:29,1.077
25,2019-05-03 23:26:29,1.186
26,2019-05-03 23:26:29,1.181
27,2019-05-03 23:26:29,1.194
28,2019-05-03 23:26:30,1.141
29,2019-05-03 23:26:30,6.448
30,2019-05-03 23:26:30,1.126
31,2019-05-03 23:26:31,1.202
32,2019-05-03 23:26:31,1.132
33,2019-05-03 23:26:32,1.210
34,2019-05-03 23:26:32,1.179
35,2019-05-03 23:26:32,1.434
36,2019-05-03 23:26:33,1.202
37,2019-05-03 23:26:33,1.177
38,2019-05-03 23:26:33,1.206
39,2019-05-03 23:26:33,1.171
40,2019-05-03 23:26:34,1.167
41,2019-05-03 23:26:34,1.176
42,2019-05-03 23:26:35,1.135
43,2019-05-03 23:26:35,1.153
44,2019-05-03 23:26:36,1.158
45,2019-05-03 23:26:36,1.257
46,2019-05-03 23:26:36,1.161
47,2019-05-03 23:26:36,1.150
48,2019-05-03 23:26:37,1.689
49,2019-05-03 23:26:38,1.139
50,2019-05-03 23:26:39,1.151
51,2019-05-03 23:26:39,1.052
52,2019-05-03 23:26:40,1.206
53,2019-05-03 23:26:40,1.190
54,2019-05-03 23:26:41,1.226
55,2019-05-03 23:26:42,1.143
56,2019-05-03 23:26:43,1.212
57,2019-05-03 23:26:44,1.195
58,2019-05-03 23:26:44,1.117
59,2019-05-03 23:26:45,1.178
60,2019-05-03 23:26:45,1.165
61,2019-05-03 23:26:45,1.151
62,2019-05-03 23:26:47,1.153
63,2019-05-03 23:26:47,1.130
64,2019-05-03 23:26:48,1.104
65,2019-05-03 23:26:49,1.190
66,2019-05-03 23:26:50,1.194
67,2019-05-03 23:26:50,1.142
68,2019-05-03 23:26:51,1.166
69,2019-05-03 23:26:54,1.149
70,2019-05-03 23:26:55,1.176
71,2019-05-03 23:26:55,1.118
72,2019-05-03 23:26:57,1.146
73,2019-05-03 23:26:58,1.192
74,2019-05-03 23:26:59,1.130
75,2019-05-03 23:27:00,1.157
76,2019-05-03 23:27:01,1.083
77,2019-05-03 23:27:01,1.112
78,2019-05-03 23:27:02,1.211
79,2019-05-03 23:27:02,1.141
80,2019-05-03 23:27:04,1.186
81,2019-05-03 23:27:04,1.140
82,2019-05-03 23:27:05,2.846
83,2019-05-03 23:27:09,1.253
84,2019-05-03 23:27:10,1.217
85,2019-05-03 23:27:11,1.153
86,2019-05-03 23:27:12,1.058
87,2019-05-03 23:27:13,1.510
88,2019-05-03 23:27:13,1.136
89,2019-05-03 23:27:14,1.207
90,2019-05-03 23:27:15,1.033
91,2019-05-03 23:27:17,1.137
92,2019-05-03 23:27:21,1.148
93,2019-05-03 23:27:21,1.154
94,2019-05-03 23:27:21,1.266
95,2019-05-03 23:27:22,1.142
96,2019-05-03 23:27:23,2.124
97,2019-05-03 23:27:23,1.203
98,2019-05-03 23:27:24,1.101
99,2019-05-03 23:27:24,1.198
100,2019-05-03 23:27:26,1.166
101,2019-05-03 23:27:26,1.209
102,2019-05-03 23:27:27,1.613
103,2019-05-03 23:27:28,1.148
104,2019-05-03 23:27:28,1.153
105,2019-05-03 23:27:28,1.205
106,2019-05-03 23:27:31,1.193
107,2019-05-03 23:27:31,1.158
108,2019-05-03 23:27:32,1.125
109,2019-05-03 23:27:32,1.154
110,2019-05-03 23:27:33,1.205
111,2019-05-03 23:27:33,1.146
112,2019-05-03 23:27:35,1.166
113,2019-05-03 23:27:37,1.206
114,2019-05-03 23:27:37,1.154
115,2019-05-03 23:27:38,1.174
116,2019-05-03 23:27:42,1.186
117,2019-05-03 23:27:43,1.164
118,2019-05-03 23:27:43,2.011
119,2019-05-03 23:27:44,1.082
120,2019-05-03 23:27:45,1.204
121,2019-05-03 23:27:45,1.196
122,2019-05-03 23:27:47,1.209
